127.0.0.1 - - [06/Feb/2015:07:42:52 +0000] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [06/Feb/2015:07:42:57 +0000] "GET /ProjectProto2/userindex.jsp HTTP/1.1" 200 9794
127.0.0.1 - - [06/Feb/2015:07:42:57 +0000] "GET /ProjectProto2/AddUser.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:42:59 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 412
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/userindex.jsp HTTP/1.1" 200 9794
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/jq/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/css/jquery.dataTables.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/CSS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/AddUser.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/Images/logo_orange.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:02 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:03 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/images/sort_both.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:03 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/images/sort_asc.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:03 +0000] "GET /ProjectProto2/jq/form-validator/location.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:03 +0000] "GET /ProjectProto2/jq/form-validator/security.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:03 +0000] "GET /ProjectProto2/jq/form-validator/date.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:03 +0000] "GET /ProjectProto2/jq/form-validator/file.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:03 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 412
127.0.0.1 - - [06/Feb/2015:07:43:03 +0000] "GET /ProjectProto2/CSS/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:43:23 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:43:41 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:43:46 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:43:50 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 215
127.0.0.1 - - [06/Feb/2015:07:43:57 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:44:00 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:44:04 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:44:54 +0000] "GET /ProjectProto2/userindex.jsp HTTP/1.1" 200 9794
127.0.0.1 - - [06/Feb/2015:07:44:54 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 349
127.0.0.1 - - [06/Feb/2015:07:44:56 +0000] "GET /ProjectProto2/userindex.jsp HTTP/1.1" 200 9794
127.0.0.1 - - [06/Feb/2015:07:44:56 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:44:56 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:44:56 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:44:56 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:44:56 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
