127.0.0.1 - - [16/Feb/2015:00:02:14 +0000] "GET /ProjectProto2/userindex.jsp HTTP/1.1" 200 9839
127.0.0.1 - - [16/Feb/2015:00:02:15 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 215
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/CSS/bootbox.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/CSS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/jq/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/Images/schedule1.jpeg HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/Images/reports.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/Images/logo_orange.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/Images/users1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/Images/course2.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:06:03 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/css/jquery.dataTables.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:07:25 +0000] "GET /ProjectProto2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:00:07:25 +0000] "GET /ProjectProto2/Images/schedule1.jpeg HTTP/1.1" 200 19679
127.0.0.1 - - [16/Feb/2015:00:07:40 +0000] "GET /ProjectProto2/courseindex.html HTTP/1.1" 404 1011
127.0.0.1 - - [16/Feb/2015:00:09:01 +0000] "GET /ProjectProto2/index.html HTTP/1.1" 304 -
